combo,seed,ja4_full,ja4_a,ja4_b,ja4_c,ja4_a_changed,ja4_b_changed,ja4_c_changed,cipher_count,ext_count,sigalg_count,tls_handshake_ok
Chaos,10,t13d1919h2_73390e258fb1_2bf4c526392c,t13d1919h2,73390e258fb1,2bf4c526392c,True,True,True,19,18,12,True
Chaos,11,t13d2020h2_cefbddc1b84e_bf9e4a4e2fd0,t13d2020h2,cefbddc1b84e,bf9e4a4e2fd0,True,True,True,20,19,12,True
Chaos,12,t13d1918h2_8454e4c19db3_21b95c4e5960,t13d1918h2,8454e4c19db3,21b95c4e5960,True,True,True,19,18,12,True
Chaos,13,t13d2020h2_d6fee11ca8c9_615df6c1fa29,t13d2020h2,d6fee11ca8c9,615df6c1fa29,True,True,True,20,19,12,True
Chaos,14,t13d1920h2_f7d86b462b04_3fdd6f783f91,t13d1920h2,f7d86b462b04,3fdd6f783f91,True,True,True,19,20,13,True
Chaos,15,t13d1921h2_06af53c69937_8032e66a8019,t13d1921h2,06af53c69937,8032e66a8019,True,True,True,19,19,12,True
Chaos,16,FAILED,,,,,,,20,19,13,False
Chaos,17,t13d2121h2_2c2ccbd89f37_ca4cfc269f84,t13d2121h2,2c2ccbd89f37,ca4cfc269f84,True,True,True,21,19,13,True
Chaos,18,t13d2120h2_e85e2558cc24_cc8bc9f1f9ad,t13d2120h2,e85e2558cc24,cc8bc9f1f9ad,True,True,True,21,18,11,True
Chaos,19,t13d1919h2_f6b8e8458de0_7f9776b55ba7,t13d1919h2,f6b8e8458de0,7f9776b55ba7,True,True,True,19,19,11,True
Chaos,20,t13d2120h2_830a806d8139_bc6d91758735,t13d2120h2,830a806d8139,bc6d91758735,True,True,True,21,19,12,True
Chaos,21,t13d1921h2_749f086d17a7_054278521f4f,t13d1921h2,749f086d17a7,054278521f4f,True,True,True,19,20,12,True
Chaos,22,t13d1918h2_f3d86fd58e8b_5772710ec528,t13d1918h2,f3d86fd58e8b,5772710ec528,True,True,True,19,18,12,True
Chaos,23,t13d1919h2_09685a7d2bd6_992e1007f3a8,t13d1919h2,09685a7d2bd6,992e1007f3a8,True,True,True,19,18,11,True
Chaos,24,t13d2118h2_b2d4f614f81f_6d23b26187bb,t13d2118h2,b2d4f614f81f,6d23b26187bb,True,True,True,21,18,13,True
